route_id,service_id,trip_id,trip_short_name
171,18,9203,R-E
30,2,359,R
318,2,3031,R
319,67,3128,R
67,2,3126,R
75,2,7930,R-M
320,28,2075,R
321,2,2417,R
322,2,3024,R
72,8,6456,R
74,2,5466,R
323,2,4006,R-E
298,18,9371,R
57,2,13353,R
324,2,9267,R-E
325,2,9137,R
326,68,8391,R
327,2,9388,R
328,2,9667,R
159,2,4047,R
329,69,5564,R
330,31,8809,R
71,70,4653,R
331,71,8121,R
332,2,9669,R
333,2,2624,R
69,2,7962,R-M
334,8,4704,R
335,2,7361,R
336,72,2594,R
337,33,1583,IR
338,2,1745,IR
339,69,5562,R
340,2,532,IC
44,31,8808,R
341,2,558,IC
64,2,4540,R
342,38,9501,R
298,51,13265,R
343,2,4334,R
195,2,7360,R
344,2,8592,R
345,2,5412,R
346,18,7402,R
347,2,1663,IR
207,18,4533,R
348,73,4061,R
258,18,4503,R
349,2,3127,R
350,2,538,IC
351,28,9066,R
352,74,5442,R
186,18,5112,R
31,7,4366,R
353,75,5402,R
354,2,37647,R
355,21,8031,R
356,2,5421,R
10,2,9034,R
173,18,5052,R
357,2,3085,R
358,2,2036,R
359,11,3023,R
360,2,9111,R
361,2,1743,IR-N
362,2,2501,R
189,51,13273,R
363,7,6504,R
75,2,7912,R-M
288,2,5103,R
364,2,2857,R
365,2,1765,IR-N
366,2,2038,R
240,35,2030,R
61,2,7915,R-M
367,2,9694,R
368,2,4363,R
98,2,5532,R
30,2,369,R
369,2,2383,R
166,76,4145,R
25,2,6446,R
77,2,9016,R
370,2,2621,R
371,2,8443,R
372,2,4022,R
224,2,4530,R
373,2,3547,R
374,2,6413,R
35,14,2709,R
375,2,9021,R
227,2,5578,R
376,2,8153,R
268,2,2103,R
377,18,9206,R-E
378,8,2564,R
379,2,9160,R
380,2,75,IR
381,2,9003,R
382,2,5017,R
250,18,9438,R
383,77,1749,IR
277,2,9252,R-E
384,18,5031,R
385,33,8387,R
386,2,5304,R
387,14,2381,R
388,11,1859,IR
61,2,7933,R-M
389,2,9533,R
390,31,8574,R
391,14,9192,R
310,2,8202,R
232,31,1982,IR
47,33,1586,IR
392,2,3112,R
393,54,2086,R
163,2,4316,R
190,2,1885,IR
89,2,5034,R
394,18,5212,R
277,8,9202,R-E
395,2,4064,R
396,2,77,IR
397,24,8003,R
398,2,7916,R-M
399,2,9623,R
120,2,9011,R
400,2,4403,R
169,2,5465,R
145,63,5472,R
401,8,9134,R
402,29,4014,R-E
403,2,5583,R
36,7,6503,R
404,29,1941,IR-N
405,2,9270,R-E
326,31,8819,R
406,2,1574,IR
343,7,4338,R
407,78,5606,R
63,2,8586,R
301,28,9251,R-E
194,59,5629,R
408,2,8122,R
409,45,2085,R
140,21,8383,R
181,2,9193,R
410,2,2516,R
411,2,2445,R
21,3,4092,R
412,8,2851,R
413,2,2300,R
414,2,9625,R
149,2,2504,R
212,2,9441,R
72,8,6452,R
415,18,4524,R
390,33,8594,R
416,2,472,IR-N
94,2,9171,R
417,2,8201,R
418,2,9186,R-E
227,2,5570,R
254,2,2608,R
419,18,5413,R
420,2,9132,R
189,2,9473,R
63,2,8580,R
421,79,2438,R
422,2,7961,R-M
275,2,9104,R
423,58,2221,R
424,18,4523,R
425,2,9664,R
234,31,8379,R
426,2,2855,R
234,21,8397,R
427,15,8342,R
428,2,3029,R
209,2,5419,R
4,2,13403,R
182,80,4143,R
429,2,7037,R
197,3,4311,R
430,7,8005,R
279,59,5624,R
431,54,2091,R
44,21,8396,R
141,2,9264,R-E
329,81,5566,R
432,2,2560,R
433,33,1594,IR
434,2,3545,R
435,82,1952,IR-N
295,15,8812,R
436,83,5443,R
437,2,9480,R
71,3,4651,R
438,2,2061,R
266,20,2601,R
439,18,9033,R
400,2,4405,R
399,2,9627,R
429,2,7033,R
26,18,9362,R
79,8,6453,R
440,2,78,IR-N
441,15,1960,IR-N
142,2,5556,R
442,84,9194,R
443,85,1094,IR
254,2,2604,R
444,28,5003,R-E
445,21,8398,R
257,86,1636,IR
446,28,2012,R-E
447,2,7567,R
377,18,9208,R-E
448,2,2010,R-E
298,18,9359,R
449,18,4515,R
397,24,8009,R
120,2,9015,R
377,2,9204,R-E
450,2,9026,R
451,2,4113,R
383,87,4013,R-E
452,31,1994,IR
453,2,3511,R
454,33,8654,R
28,2,9341,R
138,2,3083,R
6,88,4073,R
455,18,5414,R
456,89,1642,IR-N
457,18,4510,R
298,18,9367,R
371,2,8595,R
458,2,9900,R-E
459,24,8008,R
129,2,2622,R
460,2,5012,R
461,2,5207,R
79,8,6455,R
462,2,3004,R-E
280,2,3080,R
60,2,1668,IR-N
392,2,3116,R
61,2,7931,R-M
463,75,5403,R
464,2,2077,R
465,2,9551,R
466,90,8662,R
467,2,4482,R
468,2,4306,R
47,2,1580,IR
364,44,2853,R
469,28,9261,R-E
470,31,2591,R
471,35,2029,R
472,2,367,IR
399,2,9615,R
473,7,5710,R
474,2,7566,R
475,91,1532,IR
476,2,4112,R
477,2,2850,R
478,17,3115,R
26,18,9372,R
479,8,2562,R
287,2,2214,R
198,8,3535,R
480,2,9263,R-E
481,11,1833,IR
482,8,4114,R
483,2,5584,R
148,7,5537,R
443,30,460,IR-N
479,2,2568,R
484,2,5552,R
353,2,5404,R
485,8,6315,R
202,2,379,IR
486,2,366,IR
65,2,2201,R
413,38,2302,R
487,2,1823,IR
488,2,5072,R
355,15,8033,R
489,18,3091,R
61,2,7921,R-M
490,2,2514,R
491,2,4020,R
181,2,9577,R
492,35,2027,R
493,2,8154,R
494,2,3546,R
495,31,8651,R
496,2,9102,R
44,15,8800,R
86,2,7365,R
497,2,4502,R
498,3,4332,R
499,11,1646,IR
305,2,9342,R
190,2,1887,IR
500,50,9062,R
501,50,9493,R
190,2,1881,IR
445,31,8810,R
502,2,1842,IR
503,2,582,IC
61,2,7917,R-M
504,2,4333,R
495,2,8653,R
425,2,13390,R
496,2,9108,R
505,2,5105,R
271,15,8346,R
506,1,9471,R
75,2,7932,R-M
288,2,5107,R
148,3,5531,R
507,2,1654,IR-N
508,2,7035,R
509,2,377,IR
130,2,9307,R
510,92,407,IR-N
511,2,1643,IR-N
512,2,1572,IR
513,8,5002,R-E
61,2,7927,R-M
514,2,2441,R
304,2,5481,R
25,93,6442,R
125,2,4549,R
466,94,8652,R
75,2,7936,R-M
280,2,3088,R
63,2,8582,R
138,18,3087,R
408,14,8124,R
515,2,7571,R
516,2,5053,R
148,7,5539,R
339,81,5560,R
517,2,1631,IR
279,59,5628,R
518,7,4441,R
519,2,7036,R
52,31,1983,IR
520,95,9403,R
521,96,3747,R
522,2,79,IR-N
523,50,9402,R
524,31,1930,IR
525,2,378,IR
526,97,4483,R
527,2,8203,R
528,2,4511,R
529,2,4485,R
385,15,8803,R
148,2,5535,R
530,64,1889,IR
337,33,1585,IR
531,2,13012,R-E
400,28,4413,R
485,28,6313,R
485,2,6311,R
532,28,2571,R
533,2,1836,IR
326,98,8389,R
534,2,2081,R
488,2,5074,R
535,2,5582,R
536,52,1630,IR
537,2,4094,R
221,2,7913,R-M
121,78,5601,R
39,2,7909,R-M
538,28,6403,R
539,18,2074,R
540,2,3003,R-E
75,2,7938,R-M
541,11,1658,IR
542,28,9507,R
402,99,1748,IR
254,2,2602,R
543,28,2518,R
544,2,559,IC
545,78,5733,R
546,83,5444,R
547,2,4521,R
61,2,7925,R-M
548,2,1681,IR
61,2,7919,R-M
549,31,8817,R
550,100,1858,IR
494,2,3550,R
162,18,2852,R
198,2,3501,R
551,81,1741,IR-N
552,2,1763,IR-N
93,7,5551,R
553,2,1751,IR
186,2,5110,R
554,8,3530,R
555,2,6402,R
556,72,2593,R
557,2,5010,R
494,2,3542,R
558,2,1576,IR
559,31,1936,IR
545,101,5731,R
560,2,5411,R
400,102,4415,R
232,21,1684,IR
561,28,9138,R
118,2,9621,R
206,2,6445,R
562,103,1851,IR
563,2,5217,R
564,2,2184,R
93,2,5557,R
186,2,5106,R
198,2,3503,R
61,2,7923,R-M
565,2,1838,IR
566,2,2031,R
567,31,2592,R
568,2,9122,R
569,20,3746,R
570,104,2100,R
261,101,5730,R
571,2,4406,R
572,8,4581,R
573,2,7568,R
108,8,4582,R
197,2,4313,R
574,2,9200,R-E
298,2,9365,R
575,18,9036,R
35,2,2711,R
576,64,1944,IR-N
329,2,5576,R
577,2,5015,R
578,2,2613,R
427,21,8340,R
579,2,2443,R
45,2,364,R
580,2,1573,IR
326,105,8371,R
581,2,1837,IR
93,2,5555,R
582,2,3125,R
583,21,8381,R
584,2,9310,R
585,2,5311,R
586,2,8093,R
532,2,2561,R
459,2,8002,R
587,106,4062,R
588,2,5202,R
589,107,1920,IR-N
590,108,4702,R
591,2,2014,R-E
92,2,7904,R-M
64,2,4548,R
592,18,5007,R-E
52,33,1587,IR
593,2,5302,R
594,2,9255,R-E
263,109,3534,R
595,2,2447,R
596,18,9109,R
597,110,2522,R-E
598,12,3114,R
28,18,9349,R
599,11,1622,IR
287,2,2208,R
418,2,9180,R-E
39,2,7907,R-M
194,59,5625,R
600,33,3002,R-E
207,2,4535,R
98,2,5538,R
171,28,9211,R-E
601,21,8384,R
129,2,2626,R
555,28,6404,R
602,2,2082,R
239,28,4456,R
71,8,4115,R
582,67,3129,R
232,64,1886,IR
603,111,9389,R
604,112,1922,IR-N
152,2,4518,R
242,2,2181,R
209,2,5415,R
605,2,1753,IR
75,2,7914,R-M
606,2,9161,R
64,2,4542,R
607,2,1754,IR
608,2,5018,R
609,2,2102,R
610,2,4116,R
611,2,3541,R
612,2,2011,R-E
326,15,8827,R
545,2,5735,R
613,2,9304,R
614,31,8807,R
615,2,2062,R
432,2,2570,R
616,2,1735,IR
617,2,521,IC
407,18,5602,R
618,8,9502,R
619,2,2063,R
620,28,9481,R
239,2,4454,R
621,2,9392,R
622,2,8585,R
623,2,3548,R
624,2,2104,R
625,2,3544,R
202,2,371,IR
626,2,9113,R
627,2,4336,R
628,2,1730,IR
629,54,5206,R
630,2,4455,R
631,2,1653,IR-N
65,20,2207,R
632,2,8091,R
203,2,9254,R-E
633,2,3510,R
212,2,9437,R
634,15,8801,R
635,8,2511,R
75,2,7920,R-M
237,2,4526,R
622,2,8587,R
636,2,4504,R
425,2,9668,R
580,2,1571,IR
637,2,9534,R
400,2,4409,R
166,8,4141,R
638,34,1969,IR
329,2,5568,R
639,2,2021,R
640,2,9695,R
250,2,9436,R
287,20,2210,R
279,113,5620,R
641,18,5205,R
75,2,7926,R-M
642,2,13501,R
643,2,1752,IR
644,2,1734,IR
374,2,6411,R
301,2,9257,R-E
314,15,8813,R
645,2,581,IC
646,2,2096,R
65,2,2211,R
647,114,1862,IR
648,2,5050,R
649,2,2080,R
650,8,4101,R
389,2,9535,R
651,2,4373,R
652,2,346,IR-N
653,2,2610,R
654,2,571,IC
655,1,9484,R
656,2,76,IR
493,2,8152,R
422,2,7963,R-M
20,2,9556,R
657,115,4703,R
658,20,3745,R
74,2,5462,R
659,2,2625,R
583,21,8395,R
660,2,1744,IR-N
18,2,3628,R
661,2,2043,R
622,2,8581,R
662,41,2706,R
613,2,9006,R
61,2,7911,R-M
26,18,9360,R
663,2,1680,IR
664,2,1732,IR
665,2,2185,R
666,2,9918,R-E
154,2,2517,R
277,28,9256,R-E
95,116,5721,R
305,2,9340,R
517,2,1633,IR
287,2,2204,R
667,2,5104,R
668,33,9909,R-E
280,18,3084,R
669,2,7038,R
125,117,4551,R
670,2,72,IR
373,2,3549,R
120,2,9387,R
212,2,9435,R
120,18,9385,R
671,2,404,IR-N
672,2,2182,R
673,31,1942,IR-N
146,33,8386,R
674,11,1645,IR
224,2,4536,R
234,118,8399,R
675,2,13503,R
234,21,8385,R
34,2,9253,R-E
353,2,5406,R
676,60,5611,R
677,67,2374,R
344,2,8596,R
398,2,7942,R-M
310,13,8204,R
142,7,5550,R
234,15,8821,R
678,104,2105,R
679,2,1866,IR
680,2,9381,R
681,28,5216,R
682,2,4337,R
504,7,4341,R
683,2,1090,R
332,20,9665,R
234,21,8375,R
305,2,9346,R
659,2,2623,R
684,2,2705,R
685,23,2041,R
686,28,9070,R
212,18,9433,R
379,2,9172,R
29,2,2563,R
186,2,5108,R
687,2,9023,R
172,21,1884,IR
688,119,9911,R-E
241,2,374,IR
26,2,9368,R
319,2,3124,R
689,2,9027,R
690,2,8007,R
691,2,402,IR-N
577,2,5019,R
98,7,5536,R
316,7,6506,R
692,67,2045,R
693,2,349,IR
694,18,1628,IR
580,2,1575,IR
63,15,8578,R
178,2,3512,R
78,2,12832,IR
695,120,1946,IR-N
12,121,4320,R
159,7,4041,R
696,15,1954,IR-N
279,59,5626,R
697,2,3025,R
698,2,5211,R
699,2,3500,R
253,2,7572,R
92,2,7906,R-M
700,2,9487,R
429,18,7031,R
354,2,37651,R
701,122,2421,R
92,2,7910,R-M
702,2,5432,R
592,2,5021,R-E
703,2,5405,R
23,2,4372,R
704,2,401,IR-N
281,31,8656,R
291,28,6312,R
64,2,4552,R
313,2,6821,R
301,28,9209,R-E
571,123,4416,R
705,2,1543,IR
706,21,1861,IR
707,18,9478,R
708,2,2089,R
362,2,2503,R
125,18,4545,R
162,2,2856,R
709,124,8382,R
275,2,9112,R
710,28,4442,R
74,2,5482,R
261,2,5732,R
711,2,4508,R
712,8,2066,R
713,2,9162,R
714,2,73,IR
715,54,2087,R
331,2,8123,R
154,86,2513,R
716,2,7368,R
622,33,8583,R
298,18,9361,R
717,18,7574,R
146,21,8394,R
718,2,3021,R
44,15,8370,R
407,2,5608,R
39,2,7947,R-M
187,2,5703,R
719,2,9120,R
720,15,8815,R
332,2,9663,R
223,7,4457,R
699,2,3536,R
721,102,2702,R
621,125,9384,R
298,8,9363,R
722,2,1539,IR
281,31,8658,R
723,29,1912,IR
389,2,9531,R
694,2,1634,IR
724,2,1590,IR
89,18,5036,R
303,20,9612,R
46,2,3624,R
725,2,551,IC
250,2,9432,R
125,2,4541,R
726,99,406,IR-N
727,2,9391,R
349,67,3123,R
241,2,376,IR
52,21,1581,IR
101,85,1095,IR
123,2,9101,R
728,51,13236,R
729,2,9302,R
730,2,3081,R
39,2,7905,R-M
731,2,1541,IR
94,87,9165,R
732,2,4453,R
622,31,8573,R
212,2,9431,R
234,64,8377,R
733,46,9508,R
14,2,2605,R
453,2,3515,R
703,2,5401,R
734,2,7935,R-M
735,2,3113,R
410,2,2512,R
36,7,6505,R
206,2,6441,R
736,2,1864,IR
737,2,1835,IR
94,2,9169,R
447,2,7573,R
72,8,6458,R
133,126,5722,R
738,2,9271,R
739,2,4512,R
740,2,9347,R
356,2,5417,R
741,8,4701,R
371,2,8591,R
257,2,1638,IR
287,2,2202,R
742,2,9927,R-E
743,18,7565,R
744,28,2018,R-E
601,15,8802,R
745,28,4118,R
26,8,9366,R
505,2,5101,R
317,18,5006,R-E
322,2,3028,R
699,2,3528,R
571,127,4408,R
532,2,2565,R
746,2,4063,R
747,7,4339,R
748,7,5704,R
210,123,2710,R
52,31,1981,IR
749,18,9479,R
638,2,561,IC
750,82,1962,IR-N
295,64,8814,R
298,2,9369,R
751,2,9922,R-E
752,2,3022,R
753,2,4004,R-E
571,2,4410,R
754,8,9483,R
226,43,4519,R
755,11,3032,R
538,2,6401,R
407,2,5610,R
756,2,4513,R
757,2,7363,R
140,15,8823,R
59,2,9662,R
758,128,2420,R
759,2,9185,R-E
760,2,1091,R
761,31,1996,IR
291,2,6316,R
321,28,2415,R
445,33,8388,R
461,2,5203,R
762,2,5201,R
75,2,7924,R-M
590,2,4490,R
763,2,3621,R
764,129,1531,IR
453,8,3513,R
267,67,2372,R
223,2,4451,R
765,2,1537,IR
748,2,5702,R
195,2,7366,R
114,2,562,IC
287,2,2206,R
669,2,7032,R
766,16,2084,R
767,2,1746,IR
479,86,2572,R
198,86,3537,R
281,33,8650,R
73,2,3625,R
768,35,9571,R
121,2,5603,R
92,2,7908,R-M
384,2,5035,R
769,2,4009,R
669,2,7030,R
418,18,9184,R-E
770,2,4096,R
371,2,8593,R
400,130,4407,R
301,2,9205,R-E
61,2,7937,R-M
771,2,4107,R
772,18,5055,R
773,8,2092,R
774,41,2701,R
775,2,1591,IR
776,11,1621,IR
75,2,7928,R-M
777,2,5581,R
687,2,9025,R
128,98,8390,R
778,2,8001,R
779,2,3026,R
780,2,9002,R
163,28,4324,R
432,2,2566,R
61,2,7929,R-M
781,7,8006,R
782,2,5009,R-E
377,2,9212,R-E
206,2,6443,R
783,2,1691,IR
564,2,2186,R
295,31,8820,R
784,35,2028,R
785,2,1596,IR
786,18,4509,R
116,2,6414,R
787,18,2072,R
77,2,9014,R
194,131,5621,R
788,2,3117,R
224,2,4534,R
789,2,2067,R
262,28,9488,R
159,24,4049,R
571,8,4402,R
790,132,3531,R
791,114,1822,IR-N
253,2,7576,R
792,31,1990,IR-N
407,2,5604,R
793,2,348,IR
794,18,5014,R
154,18,2519,R
445,21,8392,R
571,2,4404,R
795,2,10242,R
796,2,10362,R
797,2,10239,R
796,2,10364,R
798,2,10289,R
75,2,10108,R-E
799,8,10330,R
18,133,10402,R
796,2,10352,R
39,2,10105,R-E
800,2,10300,R
797,2,10233,R
801,2,10065,R-E
802,2,10344,R
803,2,10284,R
61,2,10119,R-E
517,2,10021,IR
804,2,10232,R
805,2,10313,R
18,92,10400,R
806,86,10331,R
807,2,10210,R
796,28,10360,R
808,134,10411,R
803,2,10270,R
61,2,10121,R-E
804,2,10226,R
809,2,10209,R
810,18,10241,R
17,92,10401,R
810,18,10251,R
811,2,10361,R
805,2,10311,R
803,2,10278,R
812,31,10082,IR
813,2,10031,IR
814,31,10084,IR
815,2,10059,R-E
75,2,10120,R-E
810,2,10249,R
810,2,10245,R
75,2,10124,R-E
804,135,10230,R
811,28,10359,R
809,2,10205,R
797,135,10227,R
816,2,10051,R-E
805,2,10301,R
817,2,10077,R-E
800,2,10310,R
811,2,10351,R
818,86,10322,R
800,2,10304,R
797,2,10235,R
798,2,10287,R
797,2,10229,R
796,2,10358,R
816,2,10053,R-E
819,2,10263,R
798,2,10281,R
810,2,10257,R
808,134,10413,R
820,2,10262,R
422,2,10129,R-E
798,2,10275,R
821,2,10067,R-E
822,2,10321,R
805,2,10309,R
804,2,10222,R
823,134,10410,R
803,2,10282,R
819,2,10261,R
61,2,10113,R-E
815,2,10063,R-E
257,2,10024,IR
18,92,10406,R
810,2,10243,R
75,2,10114,R-E
801,2,10069,R-E
824,2,10093,R-E
804,2,10236,R
61,2,10107,R-E
803,2,10276,R
796,8,10366,R
61,2,10117,R-E
805,2,10303,R
825,2,10341,R
795,18,10246,R
823,134,10416,R
800,2,10302,R
801,2,10061,R-E
826,2,10182,R-E
800,2,10308,R
803,2,10288,R
795,18,10254,R
422,2,10131,R-E
827,2,10092,R-E
811,2,10365,R
828,2,10052,R-E
795,2,10256,R
795,2,10250,R
829,2,10323,R
18,92,10404,R
800,2,10306,R
92,2,10104,R-E
811,18,10355,R
803,2,10290,R
69,2,10132,R-E
795,2,10252,R
75,2,10122,R-E
804,2,10234,R
17,92,10403,R
819,2,10267,R
75,2,10112,R-E
257,2,10022,IR
796,2,10348,R
802,136,10342,R
805,2,10305,R
75,2,10116,R-E
798,2,10293,R
92,2,10102,R-E
75,2,10110,R-E
826,2,10184,R-E
805,8,10315,R
830,31,10085,IR
811,8,10363,R
816,2,10055,R-E
831,2,10202,R
832,86,10346,R
804,2,10220,R
833,31,10081,IR
797,137,10225,R
820,2,10266,R
811,2,10357,R
61,2,10109,R-E
803,2,10272,R
798,2,10291,R
798,2,10273,R
797,2,10231,R
804,137,10228,R
804,2,10224,R
798,2,10285,R
802,86,10340,R
834,31,10083,IR
815,2,10079,R-E
805,2,10307,R
517,2,10023,IR
835,2,10072,IR
836,2,10030,IR
827,2,10090,R-E
808,134,10417,R
795,2,10240,R
804,2,10238,R
39,2,10103,R-E
92,2,10106,R-E
837,138,10073,IR
823,134,10412,R
803,2,10280,R
838,2,10064,R-E
835,138,10074,IR
75,2,10118,R-E
839,31,10086,IR
818,8,10324,R
820,2,10260,R
840,2,10071,IR
841,2,10181,R-E
823,134,10414,R
797,2,10223,R
796,2,10350,R
798,2,10279,R
810,18,10247,R
61,2,10123,R-E
39,2,10101,R-E
799,2,10332,R
798,2,10271,R
838,2,10062,R-E
17,92,10405,R
842,2,10164,R
824,2,10091,R-E
828,2,10054,R-E
843,2,10201,R
809,2,10203,R
829,2,10325,R
796,18,10354,R
61,2,10115,R-E
798,2,10283,R
808,134,10415,R
798,8,10277,R
