service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
121,1,1,1,1,1,0,0,20231210,20241214
122,1,1,1,1,1,0,0,20231210,20241214
123,1,1,1,1,1,1,1,20231210,20241214
124,1,1,1,1,1,1,1,20231210,20241214
125,1,1,1,1,1,0,0,20231210,20241214
126,1,1,1,1,1,1,1,20231210,20241214
127,1,1,1,1,1,0,0,20231210,20241214
128,1,1,1,1,1,0,0,20231210,20241214
129,1,0,0,0,0,1,1,20231210,20241214
130,1,1,1,1,1,0,0,20231210,20241214
131,0,0,0,0,0,1,1,20231210,20241214
132,1,1,1,1,1,0,0,20231210,20241214
133,1,1,1,1,1,1,1,20231210,20241214
134,1,1,1,1,1,1,1,20231210,20241214
135,1,1,1,1,1,1,1,20231210,20241214
136,0,0,0,0,0,1,0,20231210,20241214
137,1,1,1,1,1,1,1,20231210,20241214
138,0,0,0,0,0,1,0,20231210,20241214
139,1,1,1,1,1,1,1,20231210,20241214
140,1,1,1,1,1,0,0,20231210,20241214
141,1,1,1,1,1,1,0,20231210,20241214
142,1,1,1,1,1,1,1,20231210,20241214
143,1,1,1,1,1,1,1,20231210,20241214
144,1,1,1,1,1,1,1,20231210,20241214
145,1,1,1,1,1,1,1,20231210,20241214
146,1,1,1,1,1,1,1,20231210,20241214
147,1,1,1,1,1,1,1,20231210,20241214
148,1,1,1,1,1,1,1,20231210,20241214
149,1,1,1,1,1,1,1,20231210,20241214
150,1,1,1,1,1,1,1,20231210,20241214
151,1,1,1,1,1,1,1,20231210,20241214
152,1,1,1,1,1,1,1,20231210,20241214
153,1,1,1,1,1,1,1,20231210,20241214
154,1,1,1,1,1,1,1,20231210,20241214
